word,scaled_score_imageability,scaled_score_mrc,score
a,0.4012731058378747,0.16356877323420072,0.2824209395360377
abandon,,0.4944237918215613,0.4944237918215613
abandoned,0.5156807901678636,,0.5156807901678636
abandonment,,0.4070631970260223,0.4070631970260223
abasement,,0.24721189591078063,0.24721189591078063
abatement,,0.1115241635687732,0.1115241635687732
abbess,,0.3513011152416357,0.3513011152416357
abbey,0.56281472520618,,0.56281472520618
abdication,,0.3661710037174721,0.3661710037174721
abdomen,,0.778810408921933,0.778810408921933
abduction,,0.6208178438661709,0.6208178438661709
aberration,,0.2899628252788104,0.2899628252788104
abhor,,0.38289962825278806,0.38289962825278806
abide,0.28984831416515844,,0.28984831416515844
ability,,0.3680297397769517,0.3680297397769517
able,,0.2881040892193308,0.2881040892193308
abode,,0.6115241635687731,0.6115241635687731
abominable,,0.47955390334572484,0.47955390334572484
aboriginal,,0.48327137546468396,0.48327137546468396
about,0.0,0.17843866171003714,0.08921933085501857
above,,0.40334572490706316,0.40334572490706316
abridgement,,0.20631970260223048,0.20631970260223048
abrupt,,0.433085501858736,0.433085501858736
abscess,,0.6728624535315986,0.6728624535315986
absolute,,0.258364312267658,0.258364312267658
absolution,,0.23605947955390333,0.23605947955390333
abstract,0.7060298389636827,,0.7060298389636827
abstruse,,0.17843866171003714,0.17843866171003714
abundance,,0.47769516728624534,0.47769516728624534
abundant,,0.5836431226765799,0.5836431226765799
abyss,,0.6022304832713754,0.6022304832713754
academy,0.3480676091496495,0.6970260223048326,0.522546815727241
acceleration,,0.6635687732342006,0.6635687732342006
acceptable,,0.295539033457249,0.295539033457249
accident,,0.7230483271375465,0.7230483271375465
accommodation,,0.6263940520446096,0.6263940520446096
accomplice,,0.4869888475836431,0.4869888475836431
accord,,0.2211895910780669,0.2211895910780669
accordance,,0.2007434944237918,0.2007434944237918
accordion,,0.8308550185873604,0.8308550185873604
account,,0.4312267657992565,0.4312267657992565
accumulation,,0.41821561338289964,0.41821561338289964
accurate,,0.3271375464684015,0.3271375464684015
accuser,,0.39776951672862454,0.39776951672862454
ache,,0.5836431226765799,0.5836431226765799
acidity,,0.5631970260223047,0.5631970260223047
acknowledge,,0.3475836431226766,0.3475836431226766
acre,,0.6226765799256506,0.6226765799256506
acrobat,,0.8438661710037174,0.8438661710037174
across,0.3164827954098802,,0.3164827954098802
act,,0.5650557620817844,0.5650557620817844
action,0.36679002050912457,,0.36679002050912457
active,,0.5706319702602229,0.5706319702602229
activism,0.4957102180510905,,0.4957102180510905
activities,0.4297480953179349,,0.4297480953179349
activity,0.4853652924524653,,0.4853652924524653
actual,,0.241635687732342,0.241635687732342
actuality,,0.15613382899628253,0.15613382899628253
actually,0.28113234413114285,,0.28113234413114285
acumen,,0.18587360594795538,0.18587360594795538
ad,0.612593068628603,,0.612593068628603
adage,,0.36245353159851296,0.36245353159851296
adam,0.6242707760528177,0.6672862453531598,0.6457785107029888
add,0.6478800541061218,,0.6478800541061218
added,0.3591952796299702,,0.3591952796299702
adder,,0.8438661710037174,0.8438661710037174
addition,,0.4052044609665428,0.4052044609665428
additional,,0.32342007434944237,0.32342007434944237
address,0.6774974280081159,,0.6774974280081159
adequate,,0.258364312267658,0.258364312267658
adherence,,0.3661710037174721,0.3661710037174721
adjective,,0.4925650557620817,0.4925650557620817
adjournment,,0.3271375464684015,0.3271375464684015
administration,,0.5278810408921932,0.5278810408921932
admiral,,0.7695167286245352,0.7695167286245352
admire,,0.4851301115241636,0.4851301115241636
admission,,0.48327137546468396,0.48327137546468396
admonish,,0.32156133828996275,0.32156133828996275
adobe,0.43334449072032,,0.43334449072032
adolescence,,0.6282527881040891,0.6282527881040891
adorn,,0.4479553903345725,0.4479553903345725
adult,,0.7379182156133828,0.7379182156133828
adultery,,0.6784386617100371,0.6784386617100371
advanced,,0.3550185873605947,0.3550185873605947
advantage,,0.30297397769516726,0.30297397769516726
adventure,0.5051877776997286,,0.5051877776997286
adventurer,,0.6840148698884758,0.6840148698884758
adverb,,0.345724907063197,0.345724907063197
adversity,,0.3661710037174721,0.3661710037174721
advertising,0.49300234386576525,,0.49300234386576525
advice,,0.4144981412639405,0.4144981412639405
adze,,0.23605947955390333,0.23605947955390333
aerial,0.4945830436497559,0.8141263940520445,0.6543547188509002
affable,,0.345724907063197,0.345724907063197
affair,,0.4312267657992565,0.4312267657992565
affairs,0.4996662529937138,,0.4996662529937138
affection,,0.6598513011152416,0.6598513011152416
affectionate,,0.6356877323420074,0.6356877323420074
affirm,,0.28252788104089216,0.28252788104089216
affirmation,,0.34200743494423785,0.34200743494423785
affright,,0.19144981412639406,0.19144981412639406
afraid,,0.5985130111524164,0.5985130111524164
africa,0.6554959502523487,,0.6554959502523487
african,0.457376874115081,,0.457376874115081
after,0.13006258196389978,0.16356877323420072,0.14681567759905023
afternoon,,0.7137546468401486,0.7137546468401486
against,,0.2899628252788104,0.2899628252788104
age,,0.6301115241635686,0.6301115241635686
agency,,0.44052044609665425,0.44052044609665425
aggress,,0.26208178438661706,0.26208178438661706
aggressive,,0.5353159851301115,0.5353159851301115
aggressor,,0.4721189591078067,0.4721189591078067
agile,,0.6040892193308549,0.6040892193308549
agility,,0.6226765799256506,0.6226765799256506
ago,0.08995219559377068,,0.08995219559377068
agony,,0.6728624535315986,0.6728624535315986
agreement,,0.44237918215613375,0.44237918215613375
agriculture,0.5295798006347281,,0.5295798006347281
ague,,0.17657992565055763,0.17657992565055763
ah,,0.3736059479553903,0.3736059479553903
aid,,0.5278810408921932,0.5278810408921932
ail,,0.4869888475836431,0.4869888475836431
aim,,0.4721189591078067,0.4721189591078067
air,0.4370043519239233,0.5966542750929367,0.51682931350843
aircraft,0.7161692562172911,,0.7161692562172911
airplane,0.8579518561395517,,0.8579518561395517
airplanes,0.7731192351774112,,0.7731192351774112
airport,0.7543333580167177,,0.7543333580167177
airship,,0.7732342007434942,0.7732342007434942
airy,,0.44423791821561337,0.44423791821561337
aisle,,0.741635687732342,0.741635687732342
al,0.5757617486547659,,0.5757617486547659
alacrity,,0.1115241635687732,0.1115241635687732
alan,0.5539083577685089,,0.5539083577685089
albatross,,0.8438661710037174,0.8438661710037174
albert,0.4678064207819974,,0.4678064207819974
album,0.6422527530647427,,0.6422527530647427
albumin,,0.4144981412639405,0.4144981412639405
alchemist,,0.4925650557620817,0.4925650557620817
alcohol,,0.8717472118959106,0.8717472118959106
ale,,0.7379182156133828,0.7379182156133828
alert,,0.5557620817843867,0.5557620817843867
alex,0.5480906593234742,,0.5480906593234742
alexander,0.48705771381829344,,0.48705771381829344
algae,,0.5483271375464684,0.5483271375464684
algebra,,0.70817843866171,0.70817843866171
alias,,0.3066914498141264,0.3066914498141264
alice,0.595055352225208,,0.595055352225208
alien,,0.6338289962825279,0.6338289962825279
alimony,,0.6078066914498141,0.6078066914498141
alive,,0.5520446096654275,0.5520446096654275
alkali,,0.5631970260223047,0.5631970260223047
all,0.5065417147923913,0.37732342007434944,0.4419325674333704
allegation,,0.30111524163568776,0.30111524163568776
allege,,0.28252788104089216,0.28252788104089216
allegory,,0.21375464684014867,0.21375464684014867
alley,,0.8234200743494422,0.8234200743494422
alligator,,0.9256505576208178,0.9256505576208178
allotment,,0.6338289962825279,0.6338289962825279
allow,,0.4535315985130111,0.4535315985130111
