token_ort,token_ipa
'bout,baʊt
'cause,kəz
'course,kɔɹs
'cuse,kjuz
'em,əm
'frisco,fɹɪskoʊ
'gain,ɡɛn
'kay,keɪ
'm,əm
'n,ən
'round,ɹaʊnd
's,ɛs
'til,tɪɫ
'tis,tɪz
'twas,twəz
a,eɪ
a,ə
a.,eɪ
a.'s,eɪz
a.d.,ˌeɪˈdi
a.m.,ˌeɪˈɛm
a.s,eɪz
a's,eɪz
aaa,ˌtɹɪpəˈɫeɪ
aaberg,ɑbɝɡ
aachen,ɑkən
aachener,ɑkənɝ
aaker,ɑkɝ
aaliyah,ˌɑˈɫiˌɑ
aalseth,ɑɫsɛθ
aamodt,ɑmət
aancor,ɑnˌkɔɹ
aardema,ɑɹˈdɛmə
aardvark,ɑɹdˌvɑɹk
aardvarks,ɑɹdˌvɑɹks
aargh,ɑɹɡ
aarhus,ˌɑˈhus
aaron,ɛɹən
aaron's,ɛɹənz
aarons,ɛɹənz
aaronson,ɑɹənsən
aaronson,ɛɹənsən
aaronson's,ɑɹənsənz
aaronson's,ɛɹənsənz
aarti,ɑɹˌti
aase,ɑs
aasen,ɑsən
ab,æb
ab,eɪˈbi
aba,ˌeɪˌbiˈeɪ
ababa,ɑbəbə
ababa,əˈbɑbə
abacha,æbəkə
aback,əˈbæk
abaco,æbəˌkoʊ
abacus,æbəkəs
abad,əˈbɑd
abadaka,əˈbædəkə
abadi,əˈbædi
abadie,əˈbædi
abair,əˈbɛɹ
abalkin,əˈbɑɫkɪn
abalone,ˌæbəˈɫoʊni
abalones,ˌæbəˈɫoʊniz
abalos,ɑˈbɑɫoʊz
abandon,əˈbændən
abandoned,əˈbændənd
abandoning,əˈbændənɪŋ
abandonment,əˈbændənmənt
abandonments,əˈbændənmənts
abandons,əˈbændənz
abanto,əˈbæntoʊ
abarca,əˈbɑɹkə
abare,ɑˈbɑɹi
abascal,æbəskəɫ
abash,əˈbæʃ
abashed,əˈbæʃt
abasia,əˈbeɪʒjə
abate,əˈbeɪt
abated,əˈbeɪtɪd
abatement,əˈbeɪtmənt
abatements,əˈbeɪtmənts
abates,əˈbeɪts
abating,əˈbeɪtɪŋ
abattoir,ˌæbətˈwɑɹ
abba,æbə
abbado,əˈbɑdoʊ
abbas,əˈbɑs
abbasi,ɑˈbɑsi
abbate,ɑbeɪt
abbatiello,ɑbɑtiˈɛɫoʊ
abbe,æbi
abbe,æˈbeɪ
abbenhaus,æbənˌhaʊs
abbett,əˈbɛt
abbeville,æbvɪɫ
abbey,æbi
abbey's,æbiz
abbie,æbi
abbitt,æbɪt
abbot,æbət
abbotstown,æbətˈstaʊn
abbott,æbət
abbott's,æbəts
abbottstown,æbətˈstaʊn
abboud,əˈbaʊd
abboud,əˈbud
abbreviate,əˈbɹiviˌeɪt
abbreviated,əˈbɹiviˌeɪtɪd
abbreviates,əˈbɹiviˌeɪts
abbreviating,əˈbɹiviˌeɪtɪŋ
abbreviation,əˌbɹiviˈeɪʃən
abbreviations,əˌbɹiviˈeɪʃənz
abbruzzese,ɑbɹutˈseɪzi
abbs,æbz
abby,æbi
abc,eɪˌbiˌsi
abc's,eɪˌbiˌsiz
abco,æbkoʊ
abcotek,æbkoʊˌtɛk
abcs,eɪˌbiˌsiz
abd,ˌeɪˌbiˈdi
abdalla,ˌæbˈdæɫə
abdallah,ˌæbˈdæɫə
abdel,æbˌdɛɫ
abdella,ˌæbˈdɛɫə
abdicate,æbdəˌkeɪt
abdicated,æbdəˌkeɪtɪd
abdicates,æbdəˌkeɪts
abdicating,æbdɪˌkeɪtɪŋ
abdication,ˌæbdɪˈkeɪʃən
abdnor,æbdnɝ
abdo,æbdoʊ
abdollah,ˌæbˈdɑɫə
abdomen,æbdəmən
abdomen,æbˈdoʊmən
abdominal,æbˈdɑmənəɫ
abdominal,əbˈdɑmənəɫ
abduct,æbˈdəkt
abducted,æbˈdəktɪd
abducted,əbˈdəktɪd
abductee,æbˌdəkˈti
abductees,æbˌdəkˈtiz
abducting,æbˈdəktɪŋ
abducting,əbˈdəktɪŋ
abduction,æbˈdəkʃən
abduction,əbˈdəkʃən
abductions,æbˈdəkʃənz
abductions,əbˈdəkʃənz
abductor,æbˈdəktɝ
abductor,əbˈdəktɝ
abductors,æbˈdəktɝz
