word1,word2,similarity,dataset
old,new,0.14106583072100315,SimLex-999
smart,intelligent,0.9373040752351095,SimLex-999
hard,difficult,0.8923719958202715,SimLex-999
happy,cheerful,0.9738766980146291,SimLex-999
hard,easy,0.07523510971786833,SimLex-999
fast,rapid,0.8902821316614419,SimLex-999
happy,glad,0.9341692789968651,SimLex-999
short,long,0.10449320794148381,SimLex-999
stupid,dumb,0.9770114942528735,SimLex-999
weird,strange,0.909090909090909,SimLex-999
wide,narrow,0.08359456635318704,SimLex-999
bad,awful,0.8557993730407523,SimLex-999
easy,difficult,0.03657262277951932,SimLex-999
bad,terrible,0.7889237199582027,SimLex-999
hard,simple,0.12016718913270635,SimLex-999
smart,dumb,0.03343782654127482,SimLex-999
insane,crazy,0.9759665621734587,SimLex-999
happy,mad,0.07523510971786833,SimLex-999
large,huge,0.9655172413793103,SimLex-999
hard,tough,0.8171368861024033,SimLex-999
new,fresh,0.689655172413793,SimLex-999
sharp,dull,0.038662486938349006,SimLex-999
quick,rapid,0.9895506792058514,SimLex-999
dumb,foolish,0.6729362591431556,SimLex-999
wonderful,terrific,0.877742946708464,SimLex-999
strange,odd,0.9184952978056425,SimLex-999
happy,angry,0.10971786833855798,SimLex-999
narrow,broad,0.0992685475444096,SimLex-999
simple,easy,0.9582027168234064,SimLex-999
old,fresh,0.06687565308254963,SimLex-999
apparent,obvious,0.8610240334378265,SimLex-999
inexpensive,cheap,0.8871473354231975,SimLex-999
nice,generous,0.49843260188087773,SimLex-999
weird,normal,0.05120167189132706,SimLex-999
weird,odd,0.9373040752351095,SimLex-999
bad,immoral,0.7722048066875652,SimLex-999
sad,funny,0.07523510971786833,SimLex-999
wonderful,great,0.8171368861024033,SimLex-999
guilty,ashamed,0.6426332288401253,SimLex-999
beautiful,wonderful,0.6551724137931033,SimLex-999
confident,sure,0.8401253918495296,SimLex-999
dumb,dense,0.7356321839080459,SimLex-999
large,big,0.9738766980146291,SimLex-999
nice,cruel,0.04597701149425287,SimLex-999
impatient,anxious,0.606060606060606,SimLex-999
big,broad,0.6792058516196446,SimLex-999
strong,proud,0.3072100313479624,SimLex-999
unnecessary,necessary,0.04179728317659352,SimLex-999
restless,young,0.14315569487983282,SimLex-999
dumb,intelligent,0.054336468129571575,SimLex-999
bad,great,0.012539184952978056,SimLex-999
difficult,simple,0.06687565308254963,SimLex-999
necessary,important,0.7460815047021943,SimLex-999
bad,terrific,0.043887147335423204,SimLex-999
mad,glad,0.12748171368861022,SimLex-999
honest,guilty,0.0992685475444096,SimLex-999
easy,tough,0.0303030303030303,SimLex-999
easy,flexible,0.40438871473354226,SimLex-999
certain,sure,0.8557993730407523,SimLex-999
essential,necessary,0.9132706374085684,SimLex-999
different,normal,0.08881922675026124,SimLex-999
sly,clever,0.7335423197492162,SimLex-999
crucial,important,0.8975966562173459,SimLex-999
