aah	ɑ
aa	ˈɑ.ɑ
aalii	ɑ.ˈli.i
aardvark	ˈɑɹd.ˌvɑɹk
aardwolf	ˈɑɹd.ˌwʊlf
Aaron	ˈɛə.ɹən
Aaron	ˈæ.ɹən
abaca	ˌæ.bə.ˈkɑ
abaca	ˌɑ.bə.ˈkɑ
aback	ə.ˈbæk
abacterial	ˌeɪ.bæk.ˈtɪə.ɹi.əl
abacus	ˈæ.bə.kəs
abacus	ə.ˈbæ.kəs
abaft	ə.ˈbæft
abaft	ə.ˈbɑft
aba	ə.ˈbɑ
aba	ˈɑ.bə
Aba	ɑ.ˈbɑ
abalone	ˌæ.bə.ˈloʊ.ni
abampere	æb.ˈæm.pɪəɹ
abampere	ˌæ.bæm.ˈpɪəɹ
abamp	ˈæb.ˌæmp
abandoned	ə.ˈbæn.dənd
abandon	ə.ˈbæn.dən
abased	ə.ˈbeɪst
abase	ə.ˈbeɪs
abashed	ə.ˈbæʃt
abash	ə.ˈbæʃ
abasia	ə.ˈbeɪ.ʒə
abasia	ə.ˈbeɪ.ʒi.ə
abasia	ə.ˈbe.zi.ə
abate	ə.ˈbeɪt
abatement	ə.ˈbeɪt.mənt
abatis	ˈæ.bə.ˌti
abatis	ˈæ.bə.ˌtɪs
abatis	ə.ˈbæ.ti
abatis	ə.ˈbæ.tɪs
abattoir	ˈæ.bə.ˌtwɑɹ
abattoir	ˌæ.bə.ˈtwɑɹ
abaxial	æb.ˈæk.si.əl
abaya	ə.ˈbeɪ.yə
abbacy	ˈæ.bə.si
abba	ə.ˈbɑ
abba	ˈɑ.bə
Abba	ˈæ.bə
Abba	ˈɑ.bɑ
abbatial	ə.ˈbeɪ.ʃəl
abbess	ˈæ.bɪs
abbey	ˈæ.bi
Abbey	ˈæ.bi
Abbie	ˈæ.bi
abbot	ˈæ.bət
Abbot	ˈæ.bət
Abbott	ˈæ.bət
abbreviated	ə.ˈbɹi.vi.ˌeɪ.tɪd
abbreviate	ə.ˈbɹi.vi.ˌeɪt
abbreviation	ə.ˌbɹi.vi.ˈeɪ.ʃən
Abby	ˈæ.bi
ABC	ˈeɪ.ˌbi.ˈsi
abcoulomb	æb.ˈku.lɒm
abcoulomb	æb.ˈku.loʊm
abdicate	ˈæb.dɪ.ˌkeɪt
